date,value
13-Dec-14,15
14-Dec-14,21
15-Dec-14,13
16-Dec-14,26
17-Dec-14,28
18-Dec-14,18
19-Dec-14,14
20-Dec-14,25
21-Dec-14,5
22-Dec-14,3
23-Dec-14,24
24-Dec-14,20
25-Dec-14,7
26-Dec-14,26
27-Dec-14,15
28-Dec-14,18
29-Dec-14,4
30-Dec-14,23
31-Dec-14,11
01-Jan-15,23
02-Jan-15,14
03-Jan-15,8
04-Jan-15,17
05-Jan-15,0
06-Jan-15,23
07-Jan-15,6
08-Jan-15,26
09-Jan-15,24
10-Jan-15,21
11-Jan-15,3
12-Jan-15,7
13-Jan-15,20
14-Jan-15,21
15-Jan-15,28
16-Jan-15,16
17-Jan-15,28
18-Jan-15,6
19-Jan-15,22
20-Jan-15,6
21-Jan-15,17
22-Jan-15,28
23-Jan-15,8
24-Jan-15,20
25-Jan-15,12
26-Jan-15,11
27-Jan-15,2
28-Jan-15,19
29-Jan-15,20
30-Jan-15,4
31-Jan-15,17
01-Feb-15,6
02-Feb-15,18
03-Feb-15,0
04-Feb-15,9
05-Feb-15,20
06-Feb-15,19
07-Feb-15,10
08-Feb-15,21
09-Feb-15,1
10-Feb-15,21
11-Feb-15,22
12-Feb-15,10
13-Feb-15,12
14-Feb-15,3
15-Feb-15,15
16-Feb-15,24
17-Feb-15,4
18-Feb-15,7
19-Feb-15,11
20-Feb-15,17
21-Feb-15,25
22-Feb-15,26
23-Feb-15,8
24-Feb-15,25
25-Feb-15,3
26-Feb-15,18
27-Feb-15,1
28-Feb-15,15
01-Mar-15,5
02-Mar-15,28
03-Mar-15,7
04-Mar-15,23
05-Mar-15,8
06-Mar-15,8
07-Mar-15,18
08-Mar-15,3
09-Mar-15,23
10-Mar-15,19
11-Mar-15,2
12-Mar-15,22
13-Mar-15,22
14-Mar-15,0
15-Mar-15,29
16-Mar-15,19
17-Mar-15,14
18-Mar-15,20
19-Mar-15,22
20-Mar-15,25
21-Mar-15,20
22-Mar-15,16
23-Mar-15,13
24-Mar-15,14
25-Mar-15,15
26-Mar-15,21
27-Mar-15,10
28-Mar-15,27
29-Mar-15,2
30-Mar-15,28
31-Mar-15,15
01-Apr-15,24
02-Apr-15,14
03-Apr-15,12
04-Apr-15,20
05-Apr-15,10
06-Apr-15,14
07-Apr-15,8
08-Apr-15,24
09-Apr-15,14
10-Apr-15,4
11-Apr-15,28
12-Apr-15,9
13-Apr-15,16
14-Apr-15,21
15-Apr-15,7
16-Apr-15,2
17-Apr-15,12
18-Apr-15,26
19-Apr-15,18
20-Apr-15,2
21-Apr-15,22
22-Apr-15,22
23-Apr-15,20
24-Apr-15,5
25-Apr-15,2
26-Apr-15,9
27-Apr-15,20
28-Apr-15,27
29-Apr-15,17
30-Apr-15,18
01-May-15,0
02-May-15,1
03-May-15,24
04-May-15,4
05-May-15,16
06-May-15,4
07-May-15,22
08-May-15,28
09-May-15,0
10-May-15,22
11-May-15,24
12-May-15,27
13-May-15,19
14-May-15,8
15-May-15,24
16-May-15,22
17-May-15,6
18-May-15,21
19-May-15,20
20-May-15,20
21-May-15,10
22-May-15,0
23-May-15,18
24-May-15,2
25-May-15,8
26-May-15,5
27-May-15,21
28-May-15,9
29-May-15,9
30-May-15,15
31-May-15,22
01-Jun-15,21
02-Jun-15,26
03-Jun-15,4
04-Jun-15,5
05-Jun-15,17
06-Jun-15,9
07-Jun-15,7
08-Jun-15,2
09-Jun-15,21
10-Jun-15,6
11-Jun-15,7
12-Jun-15,9
13-Jun-15,25
14-Jun-15,6
15-Jun-15,11
16-Jun-15,4
17-Jun-15,12
18-Jun-15,6
19-Jun-15,12
20-Jun-15,27
21-Jun-15,15
22-Jun-15,2
23-Jun-15,1
24-Jun-15,24
25-Jun-15,18
26-Jun-15,15
27-Jun-15,16
28-Jun-15,11
29-Jun-15,22
30-Jun-15,2
01-Jul-15,24
02-Jul-15,7
03-Jul-15,27
04-Jul-15,5
05-Jul-15,8
06-Jul-15,15
07-Jul-15,25
08-Jul-15,26
09-Jul-15,11
10-Jul-15,14
11-Jul-15,14
12-Jul-15,24
13-Jul-15,17
14-Jul-15,0
15-Jul-15,20
16-Jul-15,15
17-Jul-15,1
18-Jul-15,1
19-Jul-15,4
20-Jul-15,5
21-Jul-15,15
22-Jul-15,21
23-Jul-15,2
24-Jul-15,5
25-Jul-15,22
26-Jul-15,28
27-Jul-15,19
