x,y,name
1,1138005,Freeport-McMoRan
2,129785,Comcast Corp
3,2514009,Tyson Foods
4,2156604,Wynn Resorts
5,2696851,Constellation Brands
6,123687,Ford Motor
7,612602,Leucadia National
8,1774179,Boeing Co
9,327809,DaVita HealthCare Partner
10,368630,Expedia
11,1831410,CBS Corp
12,77450,Google
13,1009194,General Electric
14,320254,Facebook
15,133458,Procter & Gamble
16,2634248,Honeywell International
17,534870,AbbVie
18,1754317,Viacom
19,2919493,Wal-Mart Stores
20,2673820,Bank of America
21,1437867,Twenty-First Century Fox
22,1484707,Dollar General
23,1569283,Raytheon Co
24,2989232,Emerson Electric
25,2110343,Aetna
26,2189428,Anadarko Petroleum
27,2344942,Discovery Communications
28,53845,Walt Disney Co
29,2911787,Halliburton Co
30,1250310,Ralph Lauren Corp
31,2008413,Philip Morris International
32,1893770,Yum Brands
33,637156,Macerich Co
34,480149,BlackRock
35,584317,Duke Energy
36,336877,Simon Property Group
37,1535985,Motorola Solutions
38,1840098,Omnicom Group
39,1151073,General Motors
40,2411892,Corning
41,683919,Johnson & Johnson
42,142095,Danaher Corp
43,2244036,Waste Management
44,658468,Caterpillar
45,2930279,Northrop Grumman
46,1706776,Hewlett-Packard
47,358927,Time Warner Cable
48,2970347,Morgan Stanley
49,1228721,ACE Limited
50,236003,Pfizer
51,2946321,NiSource
52,699145,Coca-Cola Enterprises
53,2053035,Dow Chemical
54,2574528,Lockheed Martin
55,867823,Abbott Laboratories
56,333646,Tenet Healthcare
57,309482,Newell Rubbermaid
58,2796140,ConocoPhillips
59,2833883,International Business Machines
60,1036453,Union Pacific
61,1343257,Carnival Corp
62,2748835,Altria Group
63,1336585,EMC Corp
64,2275869,Target Corp
65,1377826,American Express
66,1020875,Kohl's Corp
67,1662810,Cablevision Systems
68,2272671,Coca-Cola Co
69,2310438,Murphy Oil
70,1971624,Ameriprise Financial
71,2589029,Precision Castparts
72,2412258,PPG Indus
73,2729592,Qualcomm
74,1134146,CarMax
75,538485,3M Co
76,1608053,Ingersoll-Rand Plc
77,576397,AutoNation
78,2299030,Exelon Corp
79,1773216,PepsiCo
80,952413,Mondelez International
81,1854733,General Dynamics
82,1657046,Humana
83,953349,Archer-Daniels-Midland
84,2370234,Cigna Corp
85,2061541,Tyco International
86,2406528,Monsanto Co
87,323451,Whirlpool Corp
88,1622306,Genuine Parts
89,303161,ConAgra Foods
90,1829101,Home Depot
91,2185107,Verizon Communications
92,307200,eBay
93,2247249,INVESCO Ltd
94,1336661,GameStop Corp
95,1448958,CA
96,1248652,Wyndham Worldwide
97,1539798,Linear Technology Corp
98,2301414,McKesson Corp
99,2384621,CR Bard
100,2065699,Air Products & Chemicals
101,969228,Franklin Resources
102,1673794,Cerner Corp
103,1903747,McDonald's Corp
104,1759298,Huntington Bancshares
105,2743374,Praxair
106,1696402,Cummins
107,2761341,United Technologies
108,885043,AT&T
109,2827941,Gap
110,2915267,FMC Corp
111,174627,Spectra Energy
112,1498290,Time Warner
113,2201654,Chevron Corp
114,761190,Masco Corp
115,1306154,Cardinal Health
116,204477,Marriott International
117,2833870,Eastman Chemical
118,708554,International Paper
119,1536397,Lowe's Companies
120,560124,Quest Diagnostics
121,2789952,Eaton Corp Plc
122,2796869,Fidelity National Information Services
123,2768140,AFLAC
124,1308657,Reynolds American
125,532324,Marsh & McLennan
126,2831514,Progressive Corp
127,344160,Xerox Corp
128,2812745,Owens-Illinois
129,227098,Deere & Co
130,286833,Du Pont
131,1403026,CONSOL Energy
132,285171,Macy's
133,844687,Republic Services
134,258547,Ecolab
135,2534242,Dominion Resources
136,2934146,VF Corp
137,1220319,Norfolk Southern
138,1486299,Dr Pepper Snapple Group
139,1961497,Hartford Finl Services Gp
140,2592658,MasterCard
141,600928,Helmerich & Payne
142,311917,Bank of New York Mellon
143,735951,Marathon Petroleum
144,425079,Allstate Corp
145,1573507,FedEx Corp
146,1049333,Intercontinental Exchange
147,738971,FirstEnergy Corp
148,1361426,Texas Instruments
149,909832,Total System Services
150,1283497,Kimberly-Clark
151,2674501,Amgen
152,1344547,Harris Corp
153,2690677,Chubb Corp
154,471056,JPMorgan Chase & Co
155,814893,J M Smucker
156,2466127,Alcoa
157,51868,Lincoln National
158,2949555,Lennar Corp
159,1320662,CVS Health Corp
160,1234516,Boston Scientific
161,1713339,Ball Corp
162,537566,Apache Corp
163,1898336,Walgreen Boots Alliance
164,2971923,Devon Energy
165,219745,Sherwin-Williams
166,312069,CSX Corp
167,2630912,Anthem Inc
168,973030,Southern Co
169,2443508,Exxon Mobil
170,2165221,Torchmark Corp
171,1560649,Regions Financial
172,103032,PNC Financial Services
173,616420,Kansas City Southern
