England,England.capacity,England.value,Spain,Spain.capacity,Spain.value,Italy,Italy. capacity,Italy.value,Germany,Germany.capacity,Germany.value
Manchester City,55097,95.65695168,Barcelona,99354,47.32724506,Inter Milan,80018,90.13271055,Bayern Munchen,75024,15.87623908
Leicester City,32262,88.57571747,Atl madrid,54907,45.3966332,Napoli,60240,83.70447855,Borussia Dortmund,81359,3.495477057
Manchester United,75731,45.88235346,Real madrid,81044,17.98455502,Fiorentina,47290,26.36554382,VfL Wolfsburg,26385,27.76675858
Arsenal,60432,28.34800562,Celta de Vigo,31800,55.98798808,Roma,72698,51.46234106,Borussia Monchengladbach,54000,86.34988638
Tottenham Hotspur,36284,26.07020541,Deportivo de La Coru_a,34600,59.93202583,Milan,80018,90.28015478,Hertha BSC,74475,34.20160258
Liverpool,45522,31.34243056,Villareal,25000,49.40501459,Sassuolo,23717,38.05106442,Bayer Leverkusen,30210,42.20952756
Crystal Palace,26309,32.3424092,Ath Bilbao,53332,71.35413776,Juventus,41254,18.01580247,Hamburger SV,51500,8.111377979
West Ham,35016,43.57909629,Eibar,6300,71.97645288,Torino,28140,26.51789092,Schalke,78996,22.43298249
Everton,40221,92.6487966,Valencia,55000,62.89516368,Atalanta,26562,99.32487482,FSV Mainz 05,34000,53.23797761
Southampton,32505,45.20870816,Real Betis,56500,56.22708377,Lazio,72698,79.12600118,¾FC K_ln,50374,13.18825574
Watford,21577,10.11930365,Espanyol,40500,2.676272525,Udinese,25144,12.84716233,FC Ingolstadt 04,15800,14.70246052
Stoke,27743,9.13121722,Sevilla,42500,49.02244692,Empoli,16800,88.15541252,SV Darmstadt 98,17000,61.57528155
West Brom,26850,81.21362474,Getafe,17393,26.87182359,Chievo,39371,15.02317649,Eintracht Frankfurt,51500,76.27384724
Chelsea,41798,0.573672342,Rayo Vallecano,14708,7.675755899,Sampdoria,36599,62.99853961,Hannover 96,49000,89.8418041
Swansea,20520,18.95875244,Real Sociedad,32076,49.06170274,Genoa,36599,42.0611634,SV Werder Bremen,42100,84.79104421
Norwich,27244,99.59502235,Spoting de Gij„n,30000,53.03203744,Palermo,37619,43.45425927,FC Augsburg,30660,2.386499929
Sunderland,49000,32.63040765,Granada CF,22524,21.18465023,Frosinone,10000,63.48765194,VfB Stuttgart,60441,77.26819347
Bournemouth,11700,33.38120352,Mˆlaga,30044,93.93270596,Bologna,38279,46.33996825,TSG 1899 Hoffenheim,30150,65.12269964
Newcastle,52405,36.66432026,Las Palmas,31250,22.34546384,Carpi,21151,55.28158875,MEDIAN,49687,38.54289905
Aston Villa,42788,73.36985431,Levante,25354,40.31060941,Verona,39371,79.93792266,MEAN,47387.44444,41.8386058
MEDIAN,35016,86.03213867,MEDIAN,31938,47.43188891,MEDIAN,37949,63.71660195,,,
MEAN,37153,17.10994951,MEAN,39209.3,40.19422616,MEAN,41678.4,68.88936211,,,
