date,potatoes,pumpkins,Apples,Pears,highlight,annotate
01/06/16,100,100,10000,10000,,
02/06/16,100.0348868,99.79018588,10003.48868,9979.018588,,
03/06/16,99.00847082,98.80211557,9900.847082,9880.211557,,
06/06/16,99.18310069,98.83786664,9918.310069,9883.786664,,
07/06/16,100.8157234,100.0105019,10081.57234,10001.05019,,
08/06/16,100.1233777,99.40429773,10012.33777,9940.429773,,
09/06/16,98.86745378,98.44080628,9886.745378,9844.080628,,
10/06/16,96.37589128,96.23116645,9637.589128,9623.116645,,
13/06/16,94.63958826,94.45031606,9463.958826,9445.031606,,
14/06/16,93.28488383,92.28983396,9328.488383,9228.983396,,
15/06/16,94.14245172,93.21154134,9414.245172,9321.154134,,
16/06/16,93.59131907,92.79660544,9359.131907,9279.660544,,
17/06/16,94.38401323,93.70870472,9438.401323,9370.870472,,
20/06/16,97.62436743,96.99177055,9762.436743,9699.177055,,
21/06/16,98.14884501,97.58345083,9814.884501,9758.345083,,
22/06/16,98.6929219,97.86923598,9869.29219,9786.923598,,
23/06/16,100.5153639,99.78795144,10051.53639,9978.795144,,
24/06/16,93.65687877,91.76250561,9365.687877,9176.250561,,
27/06/16,90.82967806,89.03626276,9082.967806,8903.626276,yes,climbs
28/06/16,92.58009259,91.36298736,9258.009259,9136.298736,,
29/06/16,94.1969378,93.7419979,9419.69378,9374.19979,,
30/06/16,94.86155046,94.68403871,9486.155046,9468.403871,,
01/07/16,95.80261141,95.4991632,9580.261141,9549.91632,,
04/07/16,95.14574048,94.62549633,9514.574048,9462.549633,,
05/07/16,93.41629722,93.02921086,9341.629722,9302.921086,,
06/07/16,91.85472206,91.28366466,9185.472206,9128.366466,,
07/07/16,92.3008024,92.01097558,9230.08024,9201.097558,,
08/07/16,94.36735382,93.63831979,9436.735382,9363.831979,,
11/07/16,96.3640337,95.28845531,9636.40337,9528.845531,,
12/07/16,97.64445673,96.78217988,9764.445673,9678.217988,,
13/07/16,97.31754021,96.86887623,9731.754021,9686.887623,,
14/07/16,98.66587485,97.99190685,9866.587485,9799.190685,,
15/07/16,98.65215534,97.70120593,9865.215534,9770.120593,,
18/07/16,98.61521063,97.37117882,9861.521063,9737.117882,,
19/07/16,97.81271682,96.75424935,9781.271682,9675.424935,,
20/07/16,99.38820749,97.86320298,9938.820749,9786.320298,,
21/07/16,99.5273626,97.78477406,9952.73626,9778.477406,,
22/07/16,99.44161561,97.89314451,9944.161561,9789.314451,,
25/07/16,99.93924213,98.04732102,9993.924213,9804.732102,,
26/07/16,100.4245211,98.19859275,10042.45211,9819.859275,,
27/07/16,101.1280384,99.3647481,10112.80384,9936.47481,,
28/07/16,100.6907777,98.77530226,10069.07777,9877.530226,,
29/07/16,101.3039422,99.20498549,10130.39422,9920.498549,,
01/08/16,101.2355406,98.52035242,10123.55406,9852.035242,,
02/08/16,99.41104068,96.70643229,9941.104068,9670.643229,,
03/08/16,99.66455778,96.55203234,9966.455778,9655.203234,,
04/08/16,100.2295079,97.10058788,10022.95079,9710.058788,,
05/08/16,101.59509,98.55118772,10159.509,9855.118772,,
08/08/16,102.2335376,98.66089883,10223.35376,9866.089883,,
09/08/16,104.7867399,99.83643884,10478.67399,9983.643884,,
