date,potatoes,pumpkins,highlight,annotate
01/06/16,10,100,,
02/06/16,1,99.79018588,,
03/06/16,2,98.80211557,,
06/06/16,3,98.83786664,,
07/06/16,4,100.0105019,,
08/06/16,5,99.40429773,,
09/06/16,6,98.44080628,,
10/06/16,7,96.23116645,,
13/06/16,8,94.45031606,,
14/06/16,9,92.28983396,,
15/06/16,10,93.21154134,,
16/06/16,11,92.79660544,,
17/06/16,12,93.70870472,,
20/06/16,13,96.99177055,,
21/06/16,14,97.58345083,,
22/06/16,15,97.86923598,,
23/06/16,16,99.78795144,,
24/06/16,17,91.76250561,,
27/06/16,18,89.03626276,,
28/06/16,19,91.36298736,,
29/06/16,20,93.7419979,,
30/06/16,21,94.68403871,,
01/07/16,22,95.4991632,,
04/07/16,23,94.62549633,,
05/07/16,24,93.02921086,yes,
06/07/16,25,91.28366466,,
07/07/16,26,92.01097558,,
08/07/16,27,93.63831979,,
11/07/16,28,95.28845531,,
12/07/16,29,96.78217988,,
13/07/16,30,96.86887623,,
14/07/16,31,97.99190685,,
15/07/16,32,97.70120593,,
18/07/16,33,97.37117882,,
19/07/16,34,96.75424935,,
20/07/16,35,97.86320298,,
21/07/16,36,97.78477406,,
22/07/16,37,97.89314451,,
25/07/16,38,98.04732102,,
26/07/16,39,98.19859275,,
27/07/16,40,99.3647481,,
28/07/16,41,98.77530226,,
29/07/16,42,99.20498549,,
01/08/16,43,98.52035242,,
02/08/16,44,96.70643229,,
03/08/16,45,96.55203234,,
04/08/16,46,97.10058788,,
05/08/16,47,98.55118772,,
08/08/16,48,98.66089883,,
09/08/16,49,99.83643884,yes,
10/08/16,50,99.47758743,,
11/08/16,51,100.6381567,,
12/08/16,52,100.5541417,,
15/08/16,53,100.5020791,,
16/08/16,54,99.6659509,,
17/08/16,55,98.71050344,,
18/08/16,56,99.14353833,,
19/08/16,57,98.32707317,,
22/08/16,58,98.09066919,,
23/08/16,59,98.79474191,,
24/08/16,60,99.1080107,,
25/08/16,61,98.4631507,,
26/08/16,62,99.251015,,
29/08/16,63,98.85730629,,
30/08/16,64,99.60003486,,
31/08/16,65,99.16945786,,
01/09/16,66,99.20185727,,
02/09/16,67,101.4921605,,
05/09/16,68,101.467805,,
06/09/16,69,101.2193351,,
07/09/16,70,101.8382755,,
08/09/16,71,101.4928308,,
09/09/16,72,100.3577342,,
12/09/16,73,99.20476204,,
13/09/16,74,98.02899859,,
14/09/16,75,97.65093098,,
15/09/16,76,97.71707047,,
16/09/16,77,96.80608841,,
19/09/16,78,98.18563298,,
20/09/16,79,98.06072767,,
21/09/16,80,98.5288433,,
22/09/16,81,100.7693184,,
23/09/16,82,100.2971808,,
26/09/16,83,98.49085778,,
27/09/16,84,98.28595944,,
28/09/16,85,99.04053055,,
29/09/16,86,99.29503351,,
30/09/16,87,99.39379585,,
03/10/16,88,99.51222128,begin,
04/10/16,89,100.6189405,,
05/10/16,90,100.3253348,,
06/10/16,91,100.1052422,,
07/10/16,92,99.43066414,,
10/10/16,93,100.4886725,,
11/10/16,94,99.91844286,,
12/10/16,95,99.48272665,,
13/10/16,96,98.43097473,,
14/10/16,97,99.90012044,,
17/10/16,98,99.43781436,,
18/10/16,99,100.748985,,
19/10/16,100,101.003488,,
20/10/16,101,101.4463544,,
21/10/16,102,101.3558595,,
24/10/16,103,101.7247659,,
25/10/16,104,101.4624424,,
26/10/16,105,101.3227897,,
27/10/16,106,101.2999984,,
28/10/16,107,101.6353882,,
01/11/16,108,99.88582001,,
02/11/16,109,98.64324673,,
03/11/16,110,98.57643691,,
04/11/16,111,97.81181081,,
07/11/16,112,99.6831561,,
08/11/16,113,100.0335166,,
09/11/16,114,101.5214317,,
10/11/16,115,101.2414561,,
11/11/16,116,100.3101406,,
14/11/16,117,100.740941,,
15/11/16,118,101.3661379,,
16/11/16,119,100.5753689,,
17/11/16,120,101.1704008,,
18/11/16,121,100.6470944,,
21/11/16,122,101.2108442,,
22/11/16,123,101.630249,,
23/11/16,124,101.2025768,,
24/11/16,125,101.5008748,,
25/11/16,126,101.6731503,,
28/11/16,127,100.7820547,,
29/11/16,128,101.6997401,,
30/11/16,129,102.3003582,,
01/12/16,130,101.9041916,,
02/12/16,131,101.1938624,,
05/12/16,132,102.2105336,,
06/12/16,133,103.4980192,,
07/12/16,134,103.4980192,end,
