date,Pearson,Sky,Bloomsbury,Vitesse Media,Totally,highlight,annotate
05/04/2007,850,562,203.5,32.5,286.26,,
12/04/2007,846,571.5,200,32.5,286.26,,
19/04/2007,856,572.5,204,33,273.81,,
26/04/2007,863.5,568.5,191.25,33.5,261.37,,
03/05/2007,875.5,628.5,183.5,33.5,273.81,,
10/05/2007,875.5,621.5,189,34,261.37,,
17/05/2007,901.5,641.5,183,34,261.37,,
24/05/2007,882,634.5,185,35,261.37,,
31/05/2007,898,660,186.25,35,261.37,,
07/06/2007,851.5,640,182.5,35,273.81,,
14/06/2007,863,646,191,35,286.26,,
21/06/2007,824.5,634.5,190,35,286.26,,
28/06/2007,835,631,194,35,286.26,,
05/07/2007,827.5,649,193.25,37.5,286.26,,
12/07/2007,825.5,709,185.25,40.5,286.26,,
19/07/2007,824.5,705.5,184,39,286.26,,
26/07/2007,769.5,675.5,176,34.5,286.26,,
02/08/2007,797,660,154,34.5,286.26,,
09/08/2007,774,694.5,168.25,34.5,248.92,,
16/08/2007,737,646.5,162,33.5,248.92,,
23/08/2007,747,658,164,36,224.03,,
30/08/2007,746.5,667,163,36,224.03,,
06/09/2007,744,674,159,36,211.58,,
13/09/2007,747.5,677.5,165,36,211.58,,
20/09/2007,759.5,679,158.5,36,211.58,,
27/09/2007,754.5,694,153,36,211.58,,
04/10/2007,751.5,693,144,35.5,211.58,,
11/10/2007,791,696,145.5,35.5,211.58,,
18/10/2007,766,676,155,35.5,224.03,,
25/10/2007,784,655.5,156.75,35,199.14,,
01/11/2007,790.5,690,168.25,38,199.14,,
08/11/2007,753.5,617.5,151.75,38,199.14,,
15/11/2007,738.5,626,136.5,38,199.14,,
22/11/2007,714,623,119,38,174.25,,
29/11/2007,749.5,634.5,130,37,161.8,,
06/12/2007,735,604.5,122.25,37,174.25,,
13/12/2007,704,599,129.5,37,174.25,,
20/12/2007,711.5,600,144.5,37,174.25,,
27/12/2007,742.5,618,153,37,174.25,,
03/01/2008,720,599.5,150,37,149.35,,
10/01/2008,672,549,152,37,149.35,,
17/01/2008,649,521,161,37,149.35,,
24/01/2008,669,551,161,37,136.91,,
31/01/2008,690.5,550,157.75,37,136.91,,
07/02/2008,641,558,153,32.5,124.46,,
14/02/2008,674,588,156,30.5,112.02,,
21/02/2008,681,595,156,30.5,124.46,,
28/02/2008,680,571,172,30.5,136.91,,
06/03/2008,688.5,551,162,30.5,136.91,,
13/03/2008,678,547,159.5,28.5,136.91,,
20/03/2008,682,537.5,146,27.75,112.02,,
27/03/2008,684,566,148,26,112.02,,
03/04/2008,698,569,160,25.5,112.02,,
10/04/2008,668.5,558,152,25.5,99.57,,
17/04/2008,652.5,544,133.5,25.5,99.57,,
24/04/2008,665.5,536.5,128,25.5,112.02,,
01/05/2008,660.5,548,140.5,25.5,112.02,,
08/05/2008,698.5,530,147,25.5,112.02,,
15/05/2008,688,516.5,147,25,124.46,,
22/05/2008,672,531.5,150,25,124.46,,
29/05/2008,666,539.5,135,25,124.46,,
05/06/2008,680,544,139.25,25,112.02,,
12/06/2008,648.5,508.5,125.5,25,112.02,,
19/06/2008,633.5,504.5,129,23.5,124.46,,
26/06/2008,610.5,470.75,141.5,23.5,124.46,,
03/07/2008,597.5,458,139.5,23.5,99.57,,
10/07/2008,611.5,443.25,150.75,23.5,99.57,,
17/07/2008,606,451.75,151,23.25,87.12,,
24/07/2008,595.5,466.5,144,23.25,99.57,,
31/07/2008,650.5,454.25,154,23.25,87.12,,
07/08/2008,649.5,462.75,162,23.25,87.12,,
14/08/2008,668.5,481.5,157,23.25,87.12,,
21/08/2008,643.5,441.75,164.5,20.25,87.12,,
28/08/2008,677.5,460.75,165.75,20.25,99.57,,
04/09/2008,675,460,167,20.25,99.57,,
11/09/2008,674.5,445.5,171.75,20.25,54.76,,
18/09/2008,594,419,161,20.75,54.76,,
25/09/2008,605,431.75,167.75,20.75,42.32,,
02/10/2008,624.5,429.5,155,20,42.32,,
09/10/2008,543.5,400,168.25,19.5,44.81,,
16/10/2008,533.5,361.5,163,19.5,44.81,,
23/10/2008,602.5,372.25,159,19,44.81,,
30/10/2008,595,378,151,19,44.81,,
06/11/2008,596.5,404.5,162,19,44.81,,
13/11/2008,582,394.75,160.5,19,39.83,,
20/11/2008,587,375,165,19,39.83,,
27/11/2008,602.5,414.25,157,19,27.38,,
04/12/2008,624.5,438.75,152,19,27.38,,
11/12/2008,632,471,137.5,19,27.38,,
18/12/2008,650.5,478.75,150.5,19,27.38,,
25/12/2008,643,468.25,153.5,19,27.38,,
01/01/2009,641,480,159.75,18.5,29.87,,
08/01/2009,612,475,153.75,18.5,29.87,,
15/01/2009,588.5,405.75,157.5,18.5,34.85,,
22/01/2009,643,424.25,147,18.5,34.85,,
29/01/2009,668.5,500,144,16,37.34,,
05/02/2009,672,486.5,141.5,16,37.34,,
12/02/2009,655.5,465.25,146,16,37.34,,
19/02/2009,641,458,135,16,37.34,,
26/02/2009,654.5,470.5,127,16,37.34,,
05/03/2009,654.5,448.5,140.5,16,37.34,,
12/03/2009,680.5,446.25,137,16,37.34,,
19/03/2009,693.5,458.5,134.5,16,34.85,,
26/03/2009,697,435.5,135,16,34.85,,
02/04/2009,732.5,432.25,119.5,16,32.36,,
09/04/2009,687.5,425.75,122.25,16,32.36,,
16/04/2009,670,440,127.5,16,32.36,,
23/04/2009,674,440.25,125,16,32.36,,
30/04/2009,706.5,486.75,125,16,39.83,,
07/05/2009,719,481.25,121,16,34.85,,
14/05/2009,693,468,120,14.5,39.83,,
21/05/2009,671,450.75,127.25,14.5,39.83,,
28/05/2009,666.5,452.5,120.5,14.5,39.83,,
04/06/2009,631.5,452.75,123.5,14.5,39.83,,
11/06/2009,617,449,122.5,14.5,39.83,,
18/06/2009,604,431,118,14,34.85,,
25/06/2009,614.5,451.75,123.5,14,37.34,,
02/07/2009,585.5,454.75,125,13.5,37.34,,
09/07/2009,586.5,477.75,128.5,13.5,37.34,,
16/07/2009,611.5,490.25,136.25,13.5,37.34,,
23/07/2009,623,517,142.5,13.5,37.34,,
30/07/2009,684.5,546,139,13.5,34.85,,
06/08/2009,704.5,534,136.5,13.5,34.85,,
13/08/2009,721,533.5,131,13.5,37.34,,
20/08/2009,722.5,542.5,130,13.5,37.34,,
27/08/2009,745,540.5,129.75,13.5,37.34,,
03/09/2009,735,535.5,135,13.5,37.34,,
10/09/2009,744,541,127,13.5,37.34,,
17/09/2009,754.5,541.5,125.25,13.5,37.34,,
24/09/2009,759,560,120.5,13.5,37.34,,
01/10/2009,767.5,573,123.5,13.5,67.21,,
08/10/2009,786,581,129.5,12,54.76,,
15/10/2009,808,571.5,131,12.25,54.76,,
22/10/2009,831,559.5,130,12.25,42.32,,
29/10/2009,841,539,128,12.25,42.32,,
05/11/2009,843,542.5,132,12.25,42.32,,
12/11/2009,845.5,539.5,126.25,12.25,42.32,,
19/11/2009,837,540,125,12.25,42.32,,
26/11/2009,825,532.5,127,12.25,42.32,,
03/12/2009,848,543.5,126.25,12.25,42.32,,
10/12/2009,862,564.5,127.5,12.25,42.32,,
17/12/2009,863.5,565,125,12.25,42.32,,
24/12/2009,878,561.5,129.5,12.25,42.32,,
31/12/2009,891,562,126.5,12.25,42.32,,
07/01/2010,869.5,568.5,126.5,12.25,42.32,,
14/01/2010,887.5,572.5,130,12.25,34.85,,
21/01/2010,891.5,560,130,11,34.85,,
28/01/2010,874.5,540,130,11,34.85,,
04/02/2010,870.5,532.5,128,10.5,34.85,,
11/02/2010,865,528,124,10.5,34.85,,
18/02/2010,875.5,534.5,125,10.5,34.85,,
25/02/2010,898.5,538,125.25,11.5,34.85,,
04/03/2010,974,558.5,122.5,11.5,29.87,,
11/03/2010,994,569.5,122.5,11.5,29.87,,
18/03/2010,1003,588,118,11.5,42.32,,
25/03/2010,1036,600,119,10.5,47.3,,
01/04/2010,1044,612.5,115,10.5,42.32,,
08/04/2010,997.5,602.5,115.5,10,37.34,,
15/04/2010,1010,623.5,112,10,49.78,,
22/04/2010,1019,628,110,10,44.81,,
29/04/2010,1050,625,111.5,10.5,72.19,,
06/05/2010,979,600,112.5,10.5,62.23,,
13/05/2010,1001,597,108.25,10.5,59.74,,
20/05/2010,943,560,106.5,10.5,64.72,,
27/05/2010,948,575.5,109.5,9,59.74,,
03/06/2010,958.5,580,108,9,52.27,,
10/06/2010,938,585.5,116.5,9,49.78,,
17/06/2010,956.5,699,113.5,9,47.3,,
24/06/2010,927,702,112,9,49.78,,
01/07/2010,864,695.5,115,9,44.81,,
08/07/2010,907,694.5,114,9,37.34,,
15/07/2010,936.5,699.5,116,9,37.34,,
22/07/2010,962,700,114,9,37.34,,
29/07/2010,1012,711,115.75,9,37.34,,
05/08/2010,1020,708.5,126.5,9,45.8,,
12/08/2010,983.5,706,118,9,47.3,,
19/08/2010,952,706,111.25,9.25,37.34,,
26/08/2010,948.5,706,112,9.25,34.85,,
02/09/2010,996.5,710.5,110,9.25,34.85,,
09/09/2010,1010,717,115,9.25,34.85,,
16/09/2010,1011,709.5,119.75,9,39.83,,
23/09/2010,994.5,708,115.5,9,39.83,,
30/09/2010,985.5,705.5,117.75,9,39.83,,"Label 1"
07/10/2010,991.5,707.5,124.5,9,39.83,,
14/10/2010,991,707,125,9.25,39.83,,
21/10/2010,986,697.5,125,9.25,39.83,,
28/10/2010,954.5,706,126,9.25,39.83,,
04/11/2010,973.5,711.5,124,9.25,47.3,,
11/11/2010,957,726.5,117,9.25,60.24,,
18/11/2010,937.5,726,113.25,9.25,54.76,,
25/11/2010,954.5,721,115,9.25,54.76,,
02/12/2010,982,729,119.25,9.25,57.25,,
09/12/2010,1014,736,117,9.25,57.25,,
16/12/2010,1024,731,122,9.25,57.25,,
23/12/2010,1027,742,122.5,9.25,44.81,,
30/12/2010,1015,736,122.25,9.25,54.76,,
06/01/2011,1013,746,123,9.25,64.72,,
13/01/2011,1010,740.5,120,9,64.72,,
20/01/2011,1039,746,116.75,9,57.25,,
27/01/2011,1049,762.5,117,7,47.3,,
03/02/2011,1040,767.5,114,7,72.19,,
10/02/2011,1060,759,114,7,60.24,,
17/02/2011,1048,749,115,8,67.21,,
24/02/2011,1013,755.5,112.5,8,77.17,,
03/03/2011,1054,823,124.25,8,77.17,,
10/03/2011,1105,827,120,8,69.7,,
17/03/2011,1054,821,118.75,8,62.23,,
24/03/2011,1077,828,127.13,8,59.74,,
31/03/2011,1101,825,130,8,54.76,,
07/04/2011,1098,833.5,131.5,8,59.74,,
14/04/2011,1106,834.5,132,8,59.74,,
21/04/2011,1131,835,131,8,64.72,,
28/04/2011,1151,842,135,8,64.72,,
05/05/2011,1125,839,135,8,64.72,,
12/05/2011,1160,840,135.5,8,62.23,,
19/05/2011,1158,842.5,132,8,62.23,,
26/05/2011,1121,838,132,8,57.25,,
02/06/2011,1135,828.5,128,8,57.25,,
09/06/2011,1161,835.5,130,8.5,57.25,,
16/06/2011,1146,826.5,129,8.5,57.25,,
23/06/2011,1133,835,128,8.5,54.76,,
30/06/2011,1176,846.5,129.75,8.5,62.23,,
07/07/2011,1202,812,133,8.5,62.23,,
14/07/2011,1156,696,114.37,8.5,69.7,,
21/07/2011,1155,741,114.25,8.5,67.21,,
28/07/2011,1139,716,113,8.5,59.74,,
04/08/2011,1119,659.5,102,8.5,59.74,,
11/08/2011,1077,654,104.5,8.5,57.25,,
18/08/2011,1038,634.5,102.75,8.5,57.25,,
25/08/2011,1063,622,100,7.5,57.25,,
01/09/2011,1122,673,100,7.5,57.25,,
08/09/2011,1097,669,100.5,7.5,57.25,,
15/09/2011,1110,699.5,101.25,7.5,57.25,,
22/09/2011,1116,668.5,99,7,54.76,,
29/09/2011,1144,682.5,98,7,54.76,,
06/10/2011,1156,689.5,97,5.5,42.32,,
13/10/2011,1162,679.5,98.25,4.75,39.83,,
20/10/2011,1135,725,97.75,4.75,39.83,,
27/10/2011,1185,729,99.75,4.75,47.3,,
03/11/2011,1148,733,95.13,4.75,47.3,,
10/11/2011,1119,738.5,96.25,4.75,47.3,,
