date,Line 1,Line 2,line three,line four,line 5,line six,line seven
15-Apr-11,0.974862099,0.550389435,1.853904595,0.694061334,0.883638873,0.051468677,0.264844678
15-May-11,1.007205268,0.631038788,1.92071843,0.780629305,0.899460229,0.118710243,0.350055107
15-Jun-11,1.03501549,0.720820708,1.967574871,0.794971736,0.928781579,0.129234582,0.410661776
15-Jul-11,1.111452361,0.763551972,2.012091669,0.843549798,1.024396307,0.20182789,0.453698909
15-Aug-11,1.203126677,0.797232204,2.038378781,0.910285371,1.028821367,0.225141319,0.532404867
15-Sep-11,1.218670264,0.866826499,2.137248025,0.963509523,1.093699804,0.311148638,0.555159222
15-Oct-11,1.281062326,0.906011061,2.15696618,0.976665575,1.124852891,0.374681992,0.590551446
15-Nov-11,1.367035894,0.959910569,2.202328927,1.072792199,1.183757907,0.43381037,0.597654673
15-Dec-11,1.438210937,0.996574888,2.231408777,1.152632109,1.215102236,0.504519704,0.668772605
15-Jan-12,1.456624417,1.049291813,2.269647663,1.17542682,1.258584174,0.522536324,0.734833253
15-Feb-12,1.538949379,1.087714105,2.360382665,1.20896536,1.29945303,0.527703829,0.782075044
15-Mar-12,1.613921255,1.10787498,2.387914213,1.226020517,1.356594012,0.604928396,0.866738508
15-Apr-12,1.691502249,1.154863801,2.397775083,1.276456818,1.436481629,0.659253298,0.943987458
15-May-12,1.732370842,1.169720593,2.4203167,1.326824448,1.456859333,0.756106151,1.024283109
15-Jun-12,1.750133696,1.238544374,2.518678196,1.423147637,1.465517247,0.841688642,1.027549505
15-Jul-12,1.77365873,1.293623654,2.535034726,1.489234308,1.564273833,0.883613145,1.073139183
15-Aug-12,1.829433262,1.324361429,2.626741411,1.535059662,1.649679064,0.928923188,1.101054672
15-Sep-12,1.853911327,1.334556721,2.65944256,1.554725049,1.653000875,1.010475182,1.105728976
15-Oct-12,1.936100781,1.344320242,2.72511184,1.631418732,1.752493701,1.046794836,1.164744635
15-Nov-12,1.988320627,1.404705983,2.797499566,1.663018065,1.801395526,1.104322545,1.233420035
15-Dec-12,2.028556974,1.420057472,2.89253451,1.696053402,1.822176934,1.202006506,1.306823
15-Jan-13,2.065220101,1.428924695,2.959854762,1.701668631,1.881253521,1.266388603,1.380183106
15-Feb-13,2.105626966,1.44648991,2.991265427,1.727232019,1.922271496,1.363242391,1.472569519
15-Mar-13,2.134675027,1.491144433,3.024979726,1.747881735,2.00536481,1.433615173,1.563471373
15-Apr-13,2.221250866,1.55732115,3.045782113,1.788304907,2.082836713,1.463357655,1.61147935
15-May-13,2.283348305,1.616985631,3.097412792,1.868804748,2.152398031,1.483613167,1.659541174
15-Jun-13,2.310698182,1.652220975,3.110691575,1.966252017,2.185186728,1.539958382,1.660337464
15-Jul-13,2.348376857,1.682864859,3.207500022,1.994499971,2.227203781,1.571386831,1.662002968
15-Aug-13,2.400972855,1.717938853,3.218787578,2.01355567,2.233996506,1.581326784,1.716044257
15-Sep-13,2.477617988,1.793482682,3.317198972,2.026821397,2.289260629,1.675896609,1.739463698
15-Oct-13,2.543015483,1.797992531,3.39164301,2.121864138,2.387011041,1.68394734,1.784010612
15-Nov-13,2.561527466,1.862560109,3.469625319,2.217997347,2.47784515,1.707947047,1.868220522
15-Dec-13,2.643987634,1.931379107,3.49730183,2.242348791,2.543783354,1.715210946,1.897646216
15-Jan-14,2.706176705,1.937418692,3.52400905,2.261682772,2.632544797,1.784663933,1.951256474
15-Feb-14,2.728924686,1.985733322,3.581087877,2.356431668,2.715272035,1.846811161,1.981970422
15-Mar-14,2.806247363,2.047912236,3.637010977,2.435244468,2.750763177,1.901176082,2.030810581
15-Apr-14,2.825162118,2.106663183,3.676713783,2.529580803,2.793831434,1.963603001,2.079019296
15-May-14,2.917019942,2.20008051,3.713772108,2.582975728,2.883171177,1.96627617,2.100772676
15-Jun-14,2.925677128,2.212811709,3.759650276,2.615218101,2.935848726,1.96829802,2.163762736
15-Jul-14,3.015396016,2.285945345,3.825924329,2.65952639,2.994486237,2.0550708,2.173252621
15-Aug-14,3.113219602,2.372813087,3.910448785,2.724474697,3.002431792,2.135401993,2.192672349
15-Sep-14,3.123023475,2.437589961,3.95476077,2.763440709,3.099915772,2.205055907,2.201496872
15-Oct-14,3.155336782,2.502002148,3.985719146,2.802506951,3.154228652,2.280616689,2.241068099
15-Nov-14,3.179914344,2.538331215,4.066650585,2.884388013,3.154575416,2.302985379,2.243409496
15-Dec-14,3.217981935,2.610930319,4.158553079,2.983770044,3.251553065,2.333744046,2.330886524
15-Jan-15,3.260127693,2.675934629,4.165748913,2.995357032,3.294277572,2.363165943,2.396983499
15-Feb-15,3.345188938,2.769942308,4.252683645,3.075074237,3.379471016,2.446616972,2.486638951
15-Mar-15,3.363143615,2.837877604,4.263734968,3.12282462,3.400485822,2.477802979,2.509035736
15-Apr-15,3.456454752,2.84936819,4.271762193,3.146125247,3.414495979,2.57245795,2.539711694
15-May-15,3.462001557,2.94430453,4.353657618,3.22598964,3.498251259,2.631782151,2.563141158
15-Jun-15,3.552507869,2.949539209,4.386662103,3.235474193,3.534787397,2.688313128,2.590304901
15-Jul-15,3.584066049,3.025849274,4.407342605,3.301252063,3.566810326,2.702683978,2.683236316
15-Aug-15,3.611987732,3.061737335,4.433463185,3.301609097,3.61532966,2.726752601,2.711690418
15-Sep-15,3.612367762,3.108667274,4.516754198,3.398124764,3.622413994,2.774022149,2.746219647
15-Oct-15,3.64292567,3.151243579,4.541750048,3.427110833,3.638029639,2.852137605,2.841485385
15-Nov-15,3.681312869,3.246456769,4.57598625,3.501473509,3.689462988,2.869919926,2.931794968
15-Dec-15,3.751249165,3.309166133,4.670158886,3.536333244,3.738838284,2.959411517,3.025392034
15-Jan-16,3.818194197,3.350751757,4.759777768,3.620932815,3.824552651,3.016875635,3.109290183
15-Feb-16,3.881035865,3.357450709,4.85908198,3.660851598,3.864907956,3.021423085,3.110005197
15-Mar-16,3.903345288,3.425086459,4.935454768,3.677460469,3.902068359,3.032484418,3.15481068
15-Apr-16,3.975163769,3.518345473,4.971026903,3.728603804,3.922684474,3.081562755,3.243993421
