date,Line 1,Line 2,line three,line four,line 5,line six,line seven
01-Jan-12,-5,-3,-1,0,1,1,1
15-Feb-12,-4.919401258,-2.872222105,-0.89867412,0.026834656,1.109621177,1.014702072,1.065126988
15-Mar-12,-4.770734041,-2.730351406,-0.832507427,0.093376716,1.260584396,1.027678927,1.111266088
15-Apr-12,-4.667810686,-2.591901943,-0.716026264,0.207968727,1.38459518,1.087821723,1.302397765
15-May-12,-4.578728405,-2.534023067,-0.666707653,0.406992498,1.530305103,1.14605012,1.431901733
15-Jun-12,-4.440895774,-2.428830902,-0.634583289,0.413508475,1.583759306,1.193397888,1.523946281
15-Jul-12,-4.243595152,-2.315086511,-0.490893812,0.532158581,1.734649673,1.258754628,1.562161492
15-Aug-12,-4.092293264,-2.200619187,-0.464211466,0.723508371,1.777458402,1.284906475,1.696420403
15-Sep-12,-4.087179738,-2.043783957,-0.312600668,0.821082524,1.868561254,1.304361947,1.847436231
15-Oct-12,-3.967886109,-1.950769404,-0.168193589,0.897028819,1.896484056,1.391152179,1.857963079
15-Nov-12,-3.811900769,-1.809245053,-0.031934065,0.93413631,2.044179912,1.456071397,1.861371144
15-Dec-12,-3.702816422,-1.748154029,0.032878592,0.972955223,2.103713788,1.490691887,1.892802448
15-Jan-13,-3.573059909,-1.561890373,0.231999059,1.115254496,2.238705819,1.524592266,1.964715886
15-Feb-13,-3.512418213,-1.521785521,0.25925337,1.244915401,2.309916317,1.617368754,2.154380616
15-Mar-13,-3.361363817,-1.419374987,0.339740179,1.438320568,2.496021882,1.715043065,2.242354011
15-Apr-13,-3.314599775,-1.248936128,0.5102805,1.636237442,2.693154232,1.746451184,2.346500862
15-May-13,-3.247189044,-1.077147245,0.531040187,1.716560567,2.755037612,1.762457,2.426155215
15-Jun-13,-3.122749902,-0.912711851,0.625934382,1.915879513,2.871413043,1.856983696,2.540416772
15-Jul-13,-2.98142405,-0.893431362,0.784854602,2.095411136,3.065963184,1.910633552,2.675660619
15-Aug-13,-2.951298131,-0.803866324,0.789053927,2.151467498,3.162848788,1.949687563,2.863525444
15-Sep-13,-2.898346914,-0.795794149,0.987068013,2.34968646,3.32445284,2.003163059,2.905068374
15-Oct-13,-2.741715657,-0.728317172,1.096675114,2.377843266,3.464517512,2.014311326,2.981513009
15-Nov-13,-2.621048134,-0.653922367,1.123126246,2.576987152,3.537175834,2.047084007,3.021560354
15-Dec-13,-2.606380041,-0.638664976,1.224045584,2.767884567,3.697030093,2.076005094,3.181107154
15-Jan-14,-2.538091264,-0.562049323,1.239672136,2.804844741,3.847490556,2.173691049,3.244333488
15-Feb-14,-2.496886467,-0.392503829,1.298558458,2.913696283,3.911753362,2.185894502,3.316125181
15-Mar-14,-2.412606453,-0.291007293,1.409536735,2.952419036,4.017445435,2.283675804,3.387537037
15-Apr-14,-2.300570548,-0.165917385,1.553424938,3.042134076,4.035590009,2.368660185,3.577739144
15-May-14,-2.261461754,-0.076024473,1.65666884,3.218615073,4.073738806,2.405523154,3.682562167
15-Jun-14,-2.224642679,-0.016973877,1.840360964,3.30934045,4.22822996,2.504916418,3.767216388
15-Jul-14,-2.208732187,0.085782419,2.030209604,3.374415288,4.407634189,2.576657446,3.949100274
15-Aug-14,-2.143340683,0.208868167,2.15533345,3.452378108,4.476280071,2.673232371,3.996089011
15-Sep-14,-1.983682184,0.266012612,2.220586186,3.626110214,4.583575705,2.714310299,4.012457845
15-Oct-14,-1.955819829,0.42783848,2.365967017,3.689482125,4.650500552,2.716242561,4.188988356
15-Nov-14,-1.851073703,0.431255268,2.424654808,3.697943389,4.677142543,2.739175061,4.232013937
15-Dec-14,-1.672465145,0.502649387,2.545158407,3.853247196,4.708582097,2.793453787,4.405342504
15-Jan-15,-1.534472042,0.505687607,2.565442785,3.941613153,4.715469099,2.837710569,4.572546451
15-Feb-15,-1.437038261,0.507818079,2.724616352,4.088399125,4.89789169,2.918470784,4.694197237
15-Mar-15,-1.352487936,0.523967493,2.856948276,4.153174843,5.042087624,3.015915246,4.758858978
15-Apr-15,-1.268516505,0.717413218,3.009588464,4.235649643,5.216872466,3.053126612,4.769672515
15-May-15,-1.245815331,0.836904921,3.186098463,4.392860865,5.402920742,3.083930083,4.9635267
15-Jun-15,-1.085648329,0.92382341,3.232570066,4.446452943,5.472777951,3.166739831,5.129207351
15-Jul-15,-1.073788412,1.03733917,3.423447061,4.496070088,5.542858104,3.219981795,5.264191906
15-Aug-15,-1.044529336,1.137516886,3.492092209,4.523208371,5.674936004,3.30963943,5.409434395
15-Sep-15,-0.846891405,1.167783954,3.545989781,4.603659443,5.77888558,3.338381854,5.426317766
15-Oct-15,-0.807830067,1.266347376,3.54750904,4.794023522,5.883037373,3.397266713,5.513087194
15-Nov-15,-0.751534197,1.286701251,3.745312707,4.97889335,5.940122069,3.476537499,5.663410988
15-Dec-15,-0.583564252,1.336613628,3.935431162,5.119161846,6.083346635,3.528128281,5.833127894
01-Jan-16,-0.40425533,1.470735794,4.041249698,5.214825858,6.1639956,3.550227972,5.972139171
